"id","study","farm","plot","block","crop","type","original_coll_date","year","porewater_no3_mgl","porewater_drp_mgl","month","log_no3","log_drp","factor(type, levels = c(""L"", ""S""))"
63,"NREC-lys","ISU","102","1","PCRO","S",2024-04-24,"2024",0.134,0.02,4,0.0546130545568877,0.00860017176191757,"S"
71,"NREC-lys","ISU","204","2","PCRO","S",2024-04-24,"2024",0.512,0.1,4,0.179551791165188,0.0413926851582251,"S"
107,"NREC-lys","ISU","204","2","PCRO","S",2024-04-30,"2024",0.02,0.14,4,0.00860017176191757,0.0569048513364726,"S"
53,"NREC-lys","ISU","304","3","PCRO","S",2024-04-24,"2024",0.177,0.08,4,0.0707764628434347,0.0334237554869497,"S"
103,"NREC-lys","ISU","304","3","PCRO","S",2024-04-30,"2024",2.04,0.02,4,0.482873583608754,0.00860017176191757,"S"
5,"NREC-lys","ISU","402","4","PCRO","S",2024-04-10,"2024",34.68,0.26,4,1.55242484570409,0.100370545117563,"S"
52,"NREC-lys","ISU","402","4","PCRO","S",2024-04-24,"2024",3.36,0.4,4,0.639486489268586,0.146128035678238,"S"
93,"NREC-lys","ISU","402","4","PCRO","S",2024-04-30,"2024",7.05,0.31,4,0.905795880367869,0.117271295655764,"S"
119,"NREC-lys","ISU","104","1","WPC","S",2024-04-30,"2024",0.03,0.01,4,0.0128372247051722,0.00432137378264258,"S"
23,"NREC-lys","ISU","201","2","WPC","S",2024-04-10,"2024",0.258,0.02,4,0.0996806411092501,0.00860017176191757,"S"
65,"NREC-lys","ISU","201","2","WPC","S",2024-04-24,"2024",0.25,0.01,4,0.0969100130080564,0.00432137378264258,"S"
126,"NREC-lys","ISU","201","2","WPC","S",2024-04-30,"2024",0.07,0.01,4,0.0293837776852097,0.00432137378264258,"S"
12,"NREC-lys","ISU","303","3","WPC","S",2024-04-10,"2024",0.058,0.03,4,0.024485667699167,0.0128372247051722,"S"
85,"NREC-lys","ISU","303","3","WPC","S",2024-04-24,"2024",0.0568,0.02,4,0.0239928046064708,0.00860017176191757,"S"
100,"NREC-lys","ISU","303","3","WPC","S",2024-04-30,"2024",0.06,0.01,4,0.0253058652647703,0.00432137378264258,"S"
4,"NREC-lys","ISU","404","4","WPC","S",2024-04-10,"2024",0.0648,0.03,4,0.0272680424666187,0.0128372247051722,"S"
33,"NREC-lys","ISU","404","4","WPC","S",2024-04-20,"2024",0.3228,0.03,4,0.121494186241665,0.0128372247051722,"S"
77,"NREC-lys","ISU","404","4","WPC","S",2024-04-24,"2024",0.0752,0.03,4,0.03148925570975,0.0128372247051722,"S"
113,"NREC-lys","ISU","404","4","WPC","S",2024-04-30,"2024",0.12,0.02,4,0.0492180226701817,0.00860017176191757,"S"
57,"NREC-lys","ISU","106","1","AR","S",2025-04-03,"2025",4.3,0.05,4,0.724275869600789,0.0211892990699381,"S"
153,"NREC-lys","ISU","106","1","AR","S",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"S"
69,"NREC-lys","ISU","205","2","AR","S",2025-04-03,"2025",17.2,0.05,4,1.26007138798507,0.0211892990699381,"S"
117,"NREC-lys","ISU","205","2","AR","S",2025-04-21,"2025",18.7,0.05,4,1.29446622616159,0.0211892990699381,"S"
165,"NREC-lys","ISU","205","2","AR","S",2025-05-02,"2025",15.7,0.05,5,1.22271647114758,0.0211892990699381,"S"
81,"NREC-lys","ISU","305","3","AR","S",2025-04-03,"2025",29.2,0.05,4,1.48000694295715,0.0211892990699381,"S"
129,"NREC-lys","ISU","305","3","AR","S",2025-04-21,"2025",27,0.05,4,1.44715803134222,0.0211892990699381,"S"
177,"NREC-lys","ISU","305","3","AR","S",2025-05-02,"2025",11.1,0.25,5,1.08278537031645,0.0969100130080564,"S"
225,"NREC-lys","ISU","305","3","AR","S",2025-05-21,"2025",2,0.5,5,0.477121254719662,0.176091259055681,"S"
67,"NREC-lys","ISU","203","2","CR","S",2025-04-03,"2025",2.3,0.25,4,0.518513939877887,0.0969100130080564,"S"
163,"NREC-lys","ISU","203","2","CR","S",2025-05-02,"2025",4,1,5,0.698970004336019,0.301029995663981,"S"
79,"NREC-lys","ISU","301","3","CR","S",2025-04-03,"2025",0.5,0.05,4,0.176091259055681,0.0211892990699381,"S"
127,"NREC-lys","ISU","301","3","CR","S",2025-04-21,"2025",0.4,0.05,4,0.146128035678238,0.0211892990699381,"S"
175,"NREC-lys","ISU","301","3","CR","S",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"S"
91,"NREC-lys","ISU","403","4","CR","S",2025-04-03,"2025",0.4,0.05,4,0.146128035678238,0.0211892990699381,"S"
139,"NREC-lys","ISU","403","4","CR","S",2025-04-21,"2025",0.4,0.5,4,0.146128035678238,0.176091259055681,"S"
187,"NREC-lys","ISU","403","4","CR","S",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"S"
49,"NREC-lys","ISU","101","1","F","S",2025-04-03,"2025",25,0.05,4,1.41497334797082,0.0211892990699381,"S"
97,"NREC-lys","ISU","101","1","F","S",2025-04-21,"2025",26.2,0.05,4,1.4345689040342,0.0211892990699381,"S"
145,"NREC-lys","ISU","101","1","F","S",2025-05-02,"2025",23.4,0.05,5,1.38738982633873,0.0211892990699381,"S"
193,"NREC-lys","ISU","101","1","F","S",2025-05-21,"2025",16.1,0.25,5,1.23299611039215,0.0969100130080564,"S"
61,"NREC-lys","ISU","202","2","F","S",2025-04-03,"2025",24.8,0.05,4,1.41161970596323,0.0211892990699381,"S"
157,"NREC-lys","ISU","202","2","F","S",2025-05-02,"2025",22.4,0.5,5,1.36921585741014,0.176091259055681,"S"
73,"NREC-lys","ISU","302","3","F","S",2025-04-03,"2025",41,0.1,4,1.6232492903979,0.0413926851582251,"S"
169,"NREC-lys","ISU","302","3","F","S",2025-05-02,"2025",32,0.25,5,1.51851393987789,0.0969100130080564,"S"
85,"NREC-lys","ISU","401","4","F","S",2025-04-03,"2025",86.1,0.05,4,1.94001815500766,0.0211892990699381,"S"
