"","F","Df","Df.res","Pr(>F)"
"(Intercept)",8.89501486933415,1,1.13174467503458,0.18201048471786
"crop",21.3575285725222,5,230.558109200678,1.52646082448414e-17
"type",0.518137293041444,1,230.424111065125,0.472366813694255
"crop:type",0.544692756423232,5,230.656363774822,0.742283552219291
